model,RMSE,MAE,R2
XGBoost,57.895265056401314,45.80420452615489,0.9480966357853019
Random Forest,59.9551820072303,47.30417381177097,0.9443374796792446
Linear Regression,230.75906579791214,185.51251970298495,0.17543108324716516
